ItemName,Function,adjacentFunc
$emqnall,"""[$emqnp3w] / [PRICE]""",['$emqnp3w']
$msFeeReb,"""if([$MSFee],[$MSFee],-1.0 x ([$MSRebate] - [$MSRebate median within portfolio: MSWORLD INDEX]) + [$MSFee median within portfolio: MSWORLD INDEX])""",['$MSFee' '$MSRebate']
$MSEP,"""1.0 / [$MSPRTER]""",['$MSPRTER']
$msbp,"""1.0 / [$MSPTBVAL]""",['$MSPTBVAL']
$ac06Xcst,"""([$nne2p] x [$FRe2p]) + ([$nne2p2] x [$FRe2p2]) + ([$nne2p3] x [$FRe2p3]) + ([$nnb2p] x [$FRb2p2]) + ([$nnb2p3] x [$FRb2p2]) + ([$nnb2p3] x [$FRb2p23]) + ([$nnyld] x [$FRyield]) + ([$nn0yld] x [$FRyeld4]) + ([$nnpenr] x [$FRpenr]) + ([$nnopenr] x [$FRpenr4]) + ([$nnmcap] x [$FRmcap5]) + ([$nnvtile] x [$FRvtile]) + ([$nnbeta] x [$FRbeta]) + ([$nncpmrs] x [$FRcapmA]) + ([$nncpmr3] x [$FRcapm3]) + ([$nns2p] x [$FRs2p2]) + ([$nns2p3] x [$FRs2p23]) + ([$nnerev9] x [$FRerev9]) + ([$nnegi] x [$FRegi]) + ([$nntorp1] x [$FRtorp1]) + ([$nntorpf] x [$FRtorpf]) + ([$nnpmar2] x [$FRpmar2]) + ([$nnd2e] x [$FRd2e]) + ([$nnd2e3] x [$FRd2e3]) + ([$nnroic] x [$FRroic]) + ([$nnrelst] x [$FRrlstr]) + ([$nnstrmn] x [$FRstrmn]) + ([$nnSRM_R] x [$FRsrm_r]) + ([$nncf2p] x [$FRcf2p]) + ([$nncf2p3] x [$FRcf2p3])""","['$FRb2p2' '$FRb2p23' '$FRbeta' '$FRcapm3' '$FRcapmA' '$FRcf2p' '$FRcf2p3'
 '$FRd2e' '$FRd2e3' '$FRe2p' '$FRe2p2' '$FRe2p3' '$FRegi' '$FRerev9'
 '$FRmcap5' '$FRpenr' '$FRpenr4' '$FRpmar2' '$FRrlstr' '$FRroic' '$FRs2p2'
 '$FRs2p23' '$FRsrm_r' '$FRstrmn' '$FRtorp1' '$FRtorpf' '$FRvtile'
 '$FRyeld4' '$FRyield' '$nn0yld' '$nnSRM_R' '$nnb2p' '$nnb2p3' '$nnbeta'
 '$nncf2p' '$nncf2p3' '$nncpmr3' '$nncpmrs' '$nnd2e' '$nnd2e3' '$nne2p'
 '$nne2p2' '$nne2p3' '$nnegi' '$nnerev9' '$nnmcap' '$nnopenr' '$nnpenr'
 '$nnpmar2' '$nnrelst' '$nnroic' '$nns2p' '$nns2p3' '$nnstrmn' '$nntorp1'
 '$nntorpf' '$nnvtile' '$nnyld']"
$style,"""1.0""",[]
$mssp,"""1.0 / [$MSPRTSAL]""",['$MSPRTSAL']
$lnmcap,"""log([MCAP])""",[]
$EMsize,"""if(screen(HOLDINGS in EMUNIV10 > 0),1.0,[$NA])""",['$NA']
$qtorpat3,"""([$qmntwest] - [EPSY]) / [PRICE]""",['$qmntwest']
$dfg01fcs,"""if([$FwUSfst],[$FwUSfst] x 100.0,[$dagl4fcs])""",['$FwUSfst' '$dagl4fcs']
$lcmdebtg,"""if(screen($lcmdebt on PDY-1 = 0),0.0,log([$qdebt] / [$qdebt on PDY-1]))""",['$lcmdebt' '$qdebt']
$wg05fcst,"""[$ge09fcst] | [$gn05fcst] | [$gj06fcst] | [$gp08fcst] | [$NA]""",['$NA' '$ge09fcst' '$gj06fcst' '$gn05fcst' '$gp08fcst']
$NAMsize,"""if(screen(HOLDINGS in NALCUNI2 > 0),1.0,if(screen(HOLDINGS in NASCUNI2 > 0),0.0,[$NA]))""",['$NA']
$emsp,"""(([$emrev2] x 1000000.0) / [$MSCLSHRS]) / [$MSPRICE]""",['$MSCLSHRS' '$MSPRICE' '$emrev2']
$fullmcap,"""[PRICE] x [COUT]""",[]
$avgvol,"""1.0 / [AVGVOL 22]""",[]
$emps,"""1.0 / [$emsp]""",['$emsp']
$AVGDVOL,"""1.0 / ([AVGVOL 22] x 100.0)""",[]
$emslpr,"""[$mssp] | [$emsp2]""",['$emsp2' '$mssp']
$jcFWDfst,"""if([$dg01fcst],[$dg01fcst],[$FwUSfst] x 100.0)""",['$FwUSfst' '$dg01fcst']
$wg02fcst,"""[$wd35fcst] | [$de04fcst] | [$dj03fcst] | [$dp05fcst]""",['$de04fcst' '$dj03fcst' '$dp05fcst' '$wd35fcst']
$relstr3m,"""[RETTC from PDM-3 to PD]""",[]
$relstr1m,"""[RETT from PD to PDM-1]""",[]
$wggdfcst,"""([$wg02fcst] - [$wg02fcst group: $wgmodel mean within portfolio: MSWORLD INDEX]) x ([$wg02fcst stddev within portfolio: MSWORLD INDEX] / [$wg02fcst group: $wgmodel stddev within portfolio: MSWORLD INDEX])""",['$wg02fcst' '$wgmodel']
$wgrdfcst,"""([$wg02fcst] - [$wg02fcst group: $wgmodel mean within portfolio: MSWORLD INDEX])""",['$wg02fcst' '$wgmodel']
$mscf,"""1.0 / [$MSPRTCER]""",['$MSPRTCER']
$mdvol,"""if(screen(MEDVOL 30 hi:6 = 0),1.0,(1.0 / ([MEDVOL 30 hi:6] x 100.0)))""",[]
$Udasiz90,"""if(screen(HOLDINGS in EACUK > 0),if(screen(cpmkval of MCAP on LEY-1 within portfolio: EACUK >= 85.000),0.0,1.0),[$NA])""",['$NA']
$Edasiz92,"""if(screen(HOLDINGS in EACUNIV > 0),if(screen(HOLDINGS in UNI_RDS > 0),1.0,if(screen( cpmkval of MCAP on LEY-1 within portfolio: EACUNIV >= 90.000 | brank by MCAP on LEY-1 within portfolio: EACUNIV <= 800),0.0,1.0)),[$NA])""",['$NA']
$wgr1fcst,"""([$wg01fcst] - [$wg01fcst group: $wgmodel mean within portfolio: MSWORLD INDEX])""",['$wg01fcst' '$wgmodel']
$wgg1fcst,"""([$wg01fcst] - [$wg01fcst group: $wgmodel mean within portfolio: MSWORLD INDEX]) x ([$wg01fcst stddev within portfolio: MSWORLD INDEX] / [$wg01fcst group: $wgmodel stddev within portfolio: MSWORLD INDEX])""",['$wg01fcst' '$wgmodel']
$qpmn2,"""[$qpmn] | [$qpm]""",['$qpm' '$qpmn']
$emcf2p,"""[CFPS] / [$MSPRICE]""",['$MSPRICE']
$emcf2p2,"""[$mscf] | [$emcf2p]""",['$emcf2p' '$mscf']
$emsp2,"""((([SALE] x 1000.0) / [$MSCLSHRS]) / [$MSPRICE])""",['$MSCLSHRS' '$MSPRICE']
$pmnfcst,"""if([$mm4fcst],[$mm4fcst],if([$dapGfcst],[$dapGfcst],[$dj05fcst]))""",['$dapGfcst' '$dj05fcst' '$mm4fcst']
$gEUslct,"""if([$gEUDLd],[$gEUDLd],0.0) x 0.50 + if([$gEUALr],[$gEUALr],0.0) x 0.30 + if([$gEUBLr],[$gEUBLr],0.0) x 0.20""",['$gEUALr' '$gEUBLr' '$gEUDLd']
$pmnfcs2,"""if([$mm4fcst],[$mm4fcst],if([$dapGfcst],[$dapGfcst],[$dj50fcst]))""",['$dapGfcst' '$dj50fcst' '$mm4fcst']
$emerev,"""(([$NUMUPFY1] - [$NUMDNFY1]) / ([$NUMUPFY1] + [$NUMDNFY1]))""",['$NUMDNFY1' '$NUMUPFY1']
$emerev2,"""0.0""",[]
$emerev3,"""[$emerev] | 0.0""",['$emerev']
$wggdfcs2,"""([$wg03fcst] - [$wg03fcst group: $wgmodel mean within portfolio: MSWORLD INDEX]) x ([$wg03fcst stddev within portfolio: MSWORLD INDEX] / [$wg03fcst group: $wgmodel stddev within portfolio: MSWORLD INDEX])""",['$wg03fcst' '$wgmodel']
$EACsize,"""if(screen(HOLDINGS in ELCUNIV3 > 0),1.0,if(screen(HOLDINGS in ESCUNIV3 > 0),0.0,[$NA]))""",['$NA']
$JACsize,"""if(screen(HOLDINGS in JLCUNIV2 > 0),1.0,[$NA])""",['$NA']
$compliq2,"""[HOLDINGS in ACCTTKPE] / [AVGVOL 30 lo:5]""",[]
$dg02fcst,"""[$de04fcst] | [$wd35fcst] | [$dp05fcst] | [$dj03fcst] | [$dm02fcst] | [$NA]""",['$NA' '$de04fcst' '$dj03fcst' '$dm02fcst' '$dp05fcst' '$wd35fcst']
$complqt,"""[HOLDINGS in ACCTKPNF] / ([AVGVOL 30 lo:5] x 100.0)""",[]
