ItemName,Function,adjacentFunc
$agrowth1,"""([$qasset] / [$qasset on PDM-12]) - 1.0""",['$qasset']
$qasset,"""[$qbook] + [$qliab]""",['$qbook' '$qliab']
$salgrow1,"""([$qsales] / [$qsales on PDM-12]) - 1.0""",['$qsales']
$invgrow1,"""([$qinvcap] / [$qinvcap on PDM-12])""",['$qinvcap']
$gl1hlofc,"""if(screen($gl1hfcst > 0),[$gl1hfcst],0.0)""",['$gl1hfcst']
$gl1hsofc,"""if(screen($gl1hfcst <= 0),[$gl1hfcst],0.0)""",['$gl1hfcst']
$agrowth2,"""([ASST on PDM-24] - [ASST on PDM-12]) / [ASST on PDM-24]""",[]
$qganmoEM,"""[$qganmo] x ([$gl1hfcst stddev within portfolio: MEMERGEF INDEX] / [$qganmo stddev within portfolio: MEMERGEF INDEX])""",['$gl1hfcst' '$qganmo']
$famainv,"""([$qasset on PDM-24] - [$qasset on PDM-12]) / [$qasset on PDM-24]""",['$qasset']
$invgrow2,"""([$qasset on PDM-12] - [$qasset on PDM-24]) / [$qasset on PDM-12]""",['$qasset']
$dabb8020,"""0.80 x [$gl1hfcst] + 0.20 x [$aon4opt]""",['$aon4opt' '$gl1hfcst']
$agrowth3,"""([$qasset on PDM-24] - [$qasset on PDM-12]) / [$qasset on PDM-24]""",['$qasset']
$assetsal,"""[$agrowth1] / [$salgrow1]""",['$agrowth1' '$salgrow1']
$wifffcst,"""[$twacwir] | [$gd12fcst]""",['$gd12fcst' '$twacwir']
$mt11fcst,"""[$ml11fcst] x 50.0""",['$ml11fcst']
$mlt8fcst,"""[$ml08fcst] x 50.0""",['$ml08fcst']
$mlt9fcst,"""[$ml09fcst] x 50.0""",['$ml09fcst']
$mt10fcst,"""[$ml10fcst] x 50.0""",['$ml10fcst']
$volgl,"""[$nn2Volat] | [$nj2volat] | [$np2volat] | [$ne2Volat] | [$nm2Volat]""",['$ne2Volat' '$nj2volat' '$nm2Volat' '$nn2Volat' '$np2volat']
$mcapgl,"""[$nn2mcap] | [$nj2mcap] | [$np2mcap] | [$ne2mcap] | [$nm2mcap]""",['$ne2mcap' '$nj2mcap' '$nm2mcap' '$nn2mcap' '$np2mcap']
$scI2fcst,"""[$scI1fcst] x 50.0""",['$scI1fcst']
$EMCall9,"""[$EMQPADW9] / [PRICE]""",['$EMQPADW9']
$ga12fcsB,"""[$wgn1fcst] | [$fi15fcst] | [$gj2wfcst] | [$ap1wfcst] | [$fi08fcst] | [$NA]""",['$NA' '$ap1wfcst' '$fi08fcst' '$fi15fcst' '$gj2wfcst' '$wgn1fcst']
$1yrMomGA,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GALCUNIV],[MOMENTUM])""",[]
$3yrMomGA,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GALCUNIV],[RETT from PDM-36 to PD])""",[]
$nigr1wt,"""[$nigrow1] x ([PMKVAL] / 100.0)""",['$nigrow1']
$qcrglia2,"""if(screen($qcrgliab < 0),0.0,[$qcrgliab])""",['$qcrgliab']
$ebitgro5,"""([$qebit] - [$qebit on PDY-5]) / abs([$qebit on PDY-5])""",['$qebit']
$ebitgro3,"""([$qebit] - [$qebit on PDY-3]) / abs([$qebit on PDY-3])""",['$qebit']
$ebitgro1,"""([$qebit] - [$qebit on PDY-1]) / abs([$qebit on PDY-1])""",['$qebit']
$jcHI1m,"""if(screen(score: 5 by $1mRetAdj within portfolio: MEMERGEF INDEX = 1),1.0,0.0)""",['$1mRetAdj']
$jclo1m,"""if(screen(score: 5 by $1mRetAdj within portfolio: MEMERGEF INDEX = 5),1.0,0.0)""",['$1mRetAdj']
$jcHi1w,"""if(screen(score: 5 by $1wRetAdj within portfolio: MEMERGEF INDEX = 1),1.0,0.0)""",['$1wRetAdj']
$jcLo1w,"""if(screen(score: 5 by $1wRetAdj within portfolio: MEMERGEF INDEX = 5),1.0,0.0)""",['$1wRetAdj']
$gdcDfcst,"""[$ndc4fcst] | [$edc4fcst] | [$jdc4fcst] | [$pdc4fcst] | [$mdc4fcst]""",['$edc4fcst' '$jdc4fcst' '$mdc4fcst' '$ndc4fcst' '$pdc4fcst']
$1wRetAdj,"""[$1wRett] - [$1wRett group: CNTYMS median within portfolio: MEMERGEF INDEX]""",['$1wRett']
$tmwestq,"""[$TRMNQT1] + [$TRMNQT2] + [$TRMNQT3] + [$TRMNQT4]""",['$TRMNQT1' '$TRMNQT2' '$TRMNQT3' '$TRMNQT4']
$mvol21,"""if(screen(MEDVOL 21 = 0),1000000.0,(1.0 / ([MEDVOL 21] x 100.0) x 1000000.0))""",[]
$3yrmomem,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: EMUNIV10],[RETT from PDM-36 to PD])""",[]
$qcrglia3,"""if(screen($qcrgliab < 0),0.0,if(screen($qcrgliab > 1500),1500.0,[$qcrgliab]))""",['$qcrgliab']
$scG5fcst,"""([$scE5fcst] | [$scJ5fcst] | [$scM5fcst] | [$scN5fcst] | [$scP5fcst]) x 50.0""",['$scE5fcst' '$scJ5fcst' '$scM5fcst' '$scN5fcst' '$scP5fcst']
$liquid3,"""[HOLDINGS] / [MEDVOL 21]""",[]
$gdcFfcst,"""[$ndc6fcst] | [$edc6fcst] | [$jdc6fcst] | [$pdc6fcst] | [$mdc6fcst]""",['$edc6fcst' '$jdc6fcst' '$mdc6fcst' '$ndc6fcst' '$pdc6fcst']
$gdcGfcst,"""[$ndc7fcst] | [$edc7fcst] | [$jdc7fcst] | [$pdc7fcst] | [$mdc7fcst]""",['$edc7fcst' '$jdc7fcst' '$mdc7fcst' '$ndc7fcst' '$pdc7fcst']
$GBRbeta,"""if(screen( $GALcntry = UK & $Rbeta > 0),[$Rbeta],0.0)""",['$GALcntry' '$Rbeta']
$HKGbeta,"""if(screen($GALcntry = HONGK & $Rbeta > 0),[$Rbeta],0.0)""",['$GALcntry' '$Rbeta']
$SNGbeta,"""if(screen( $GALcntry = SINGA & $Rbeta > 0),[$Rbeta],0.0)""",['$GALcntry' '$Rbeta']
$NWZbeta,"""if(screen( $GALcntry = NEWZE & $Rbeta > 0),[$Rbeta],0.0)""",['$GALcntry' '$Rbeta']
$AUSbeta,"""if(screen( $GALcntry = ASTRL & $Rbeta > 0),[$Rbeta],0.0)""",['$GALcntry' '$Rbeta']
$gdcHfcst,"""[$ndc8fcst] | [$edc8fcst] | [$jdc8fcst] | [$pdc8fcst] | [$mdc8fcst]""",['$edc8fcst' '$jdc8fcst' '$mdc8fcst' '$ndc8fcst' '$pdc8fcst']
$IMIqlev,"""[$IMIqliab] / [$IMImcap2]""",['$IMImcap2' '$IMIqliab']
$gdcIfcst,"""[$ndc9fcst] | [$mdc9fcst] | [$edc9fcst] | [$jdc9fcst] | [$pdc9fcst]""",['$edc9fcst' '$jdc9fcst' '$mdc9fcst' '$ndc9fcst' '$pdc9fcst']
$gdcJfcst,"""[$nd10fcst] | [$md10fcst] | [$ed10fcst] | [$jd10fcst] | [$pd10fcst]""",['$ed10fcst' '$jd10fcst' '$md10fcst' '$nd10fcst' '$pd10fcst']
$gdcKfcst,"""[$nd11fcst] | [$md11fcst] | [$ed11fcst] | [$jd11fcst] | [$pd11fcst]""",['$ed11fcst' '$jd11fcst' '$md11fcst' '$nd11fcst' '$pd11fcst']
$gdcLfcst,"""[$nd12fcst] | [$md12fcst] | [$ed12fcst] | [$jd12fcst] | [$pd12fcst]""",['$ed12fcst' '$jd12fcst' '$md12fcst' '$nd12fcst' '$pd12fcst']
$hiQuJBin,"""if(screen( {$loQuJBin = 0 & $rdistrp > portfolio: HIQUJUNK mean}),1.00,0.0)""",['$loQuJBin' '$rdistrp']
$loQuJBin,"""if(screen($rdistrp > portfolio: LOQUJUNK mean),1.00,0.0)""",['$rdistrp']
$invGrade,"""if(screen( {$hiQuJBin = 0 & $loQuJBin = 0}),1.00,0.0)""",['$hiQuJBin' '$loQuJBin']
$g12gfc50,"""[$n12gfc50] | [$e12gfc50] | [$j12gfc50] | [$p12gfc50] | [$m12gfc50]""",['$e12gfc50' '$j12gfc50' '$m12gfc50' '$n12gfc50' '$p12gfc50']
$gdcMfcst,"""[$nd13fcst] | [$md13fcst] | [$ed13fcst] | [$pd13fcst] | [$jd13fcst]""",['$ed13fcst' '$jd13fcst' '$md13fcst' '$nd13fcst' '$pd13fcst']
$ng4tnbp4,"""[$nn4tnbp4] | [$ne4tnbp4] | [$nj4tnbp4] | [$np4tnbp4] | [$nm4msbp]""",['$ne4tnbp4' '$nj4tnbp4' '$nm4msbp' '$nn4tnbp4' '$np4tnbp4']
$ng4armg,"""[$nn4ARMG] | [$ne4ARMG] | [$nj4ARMG] | [$np4ARMG] | [$nm4ARMG]""",['$ne4ARMG' '$nj4ARMG' '$nm4ARMG' '$nn4ARMG' '$np4ARMG']
$ng4eq,"""[$nn4EQ] | [$ne4EQ] | [$nj4EQ] | [$np4EQ] | [$nm4EQ]""",['$ne4EQ' '$nj4EQ' '$nm4EQ' '$nn4EQ' '$np4EQ']
$ng4shsog,"""[$nn4shsog] | [$ne4shsog] | [$nj4shsoa] | [$np4shsog]""",['$ne4shsog' '$nj4shsoa' '$nn4shsog' '$np4shsog']
$ng4appr,"""[$nn4appr] | [$ne4appr] | [$nj4appr] | [$np4appr]""",['$ne4appr' '$nj4appr' '$nn4appr' '$np4appr']
$ng4distp,"""[$nn4distp] | [$ne4distp] | [$nj4distp] | [$np4distp] | [$nm4distp]""",['$ne4distp' '$nj4distp' '$nm4distp' '$nn4distp' '$np4distp']
$ng4Yield,"""[$nn4Yield] | [$ne4Yield] | [$nj4Yield] | [$np4Yield] | [$nm4msYld]""",['$ne4Yield' '$nj4Yield' '$nm4msYld' '$nn4Yield' '$np4Yield']
$ng4bitev,"""[$nn4bitev] | [$ne4bitev] | [$nj4bitev] | [$np4bitev] | [$nm4bitev]""",['$ne4bitev' '$nj4bitev' '$nm4bitev' '$nn4bitev' '$np4bitev']
$ng4torp,"""[$nn4torp] | [$ne4torp] | [$nj4torp] | [$np4torp] | [$nm4torp]""",['$ne4torp' '$nj4torp' '$nm4torp' '$nn4torp' '$np4torp']
$ng4npm,"""[$nn4npm] | [$ne4npm] | [$nj4npm] | [$np4npm] | [$nm4npm]""",['$ne4npm' '$nj4npm' '$nm4npm' '$nn4npm' '$np4npm']
$ng4mcap,"""[$nn4mcap] | [$ne4mcap] | [$nj4mcap] | [$np4mcap] | [$nm4mcap]""",['$ne4mcap' '$nj4mcap' '$nm4mcap' '$nn4mcap' '$np4mcap']
$ng4stmom,"""[$nn4stmom] | [$ne4stmom] | [$nj4stmom] | [$np4stmom]""",['$ne4stmom' '$nj4stmom' '$nn4stmom' '$np4stmom']
$ng43ymom,"""[$nn43ymom] | [$ne43ymom] | [$nj43ymom] | [$np43ymom] | [$nm43ymom]""",['$ne43ymom' '$nj43ymom' '$nm43ymom' '$nn43ymom' '$np43ymom']
$ng4mom,"""[$nn4mom] | [$ne4mom] | [$nj4mom] | [$np4mom] | [$nm4mom]""",['$ne4mom' '$nj4mom' '$nm4mom' '$nn4mom' '$np4mom']
$ng4pens,"""[$nn4Pens] | [$ne4Pens]""",['$ne4Pens' '$nn4Pens']
$ng4lever,"""[$nn4Lever] | [$ne4Lever] | [$nj4Lever] | [$np4Lever] | [$nm4Lever]""",['$ne4Lever' '$nj4Lever' '$nm4Lever' '$nn4Lever' '$np4Lever']
$ng4volat,"""[$nn4Volat] | [$ne4Volat] | [$nj4Volat] | [$np4Volat] | [$nm4Volat]""",['$ne4Volat' '$nj4Volat' '$nm4Volat' '$nn4Volat' '$np4Volat']
$ng4shrt,"""[$nn4Shrt] | [$ne4Shrt] | [$nj4Shrt] | [$np4Shrt]""",['$ne4Shrt' '$nj4Shrt' '$nn4Shrt' '$np4Shrt']
$ng4fgnrc,"""[$nn4FgnRc] | [$ne4FgnRc]""",['$ne4FgnRc' '$nn4FgnRc']
$ng4reg,"""[$nn4Reg] | [$ne4Reg] | [$nj4Reg] | [$np4Reg] | [$nm4Reg]""",['$ne4Reg' '$nj4Reg' '$nm4Reg' '$nn4Reg' '$np4Reg']
$IMfactUQ,"""if(screen($actUtilQ = N.A.),[$IMIactUQ],[$actUtilQ])""",['$IMIactUQ' '$actUtilQ']
$IMFaaIQ,"""if(screen($actavIQ = N.A.),[$IMIaaIQ],[$actavIQ])""",['$IMIaaIQ' '$actavIQ']
$IMFaaIV,"""if(screen($actavIV = N.A.),[$IMIaaIV],[$actavIV])""",['$IMIaaIV' '$actavIV']
$IMFactU,"""if(screen($actiUtil = N.A.),[$IMIactU],[$actiUtil])""",['$IMIactU' '$actiUtil']
$IMFlnqty,"""if(screen($boolnQty = N.A.),[$IMIlnqty],[$boolnQty])""",['$IMIlnqty' '$boolnQty']
$IMFLnVal,"""if(screen($boolnVal = N.A.),[$ImiLnVal],[$boolnVal])""",['$ImiLnVal' '$boolnVal']
$IMFutil,"""if(screen($util = N.A.),[$IMIutil],[$util])""",['$IMIutil' '$util']
$IMFutilQ,"""if(screen($utilQ = N.A.),[$IMIutilQ],[$utilQ])""",['$IMIutilQ' '$utilQ']
$IMFutIQ,"""if(screen($utilavIQ = N.A.),[$ImiUtIQ],[$utilavIQ])""",['$ImiUtIQ' '$utilavIQ']
$IMFutIV,"""if(screen($utilavIV = N.A.),[$ImiUtIV],[$utilavIV])""",['$ImiUtIV' '$utilavIV']
$g12ffcst,"""([$n12ffcst] | [$m12ffcst] | [$j12ffcst] | [$e12ffcst] | [$p12ffcst]) x 50.0""",['$e12ffcst' '$j12ffcst' '$m12ffcst' '$n12ffcst' '$p12ffcst']
$g12ffc50,"""[$n12ffc50] | [$e12ffc50] | [$j12ffc50] | [$p12ffc50] | [$m12ffc50]""",['$e12ffc50' '$j12ffc50' '$m12ffc50' '$n12ffc50' '$p12ffc50']
$IMIqLcmd,"""[$IMIqdebt] / [$IMIqmcap]""",['$IMIqdebt' '$IMIqmcap']
$IMIqep,"""[$IMIqni] / [$IMIqmcap]""",['$IMIqmcap' '$IMIqni']
$IMILCMBP,"""[$IMIbook] / [MCAP]""",['$IMIbook']
$ss83fcst,"""[$sc83fcst] x 50.0""",['$sc83fcst']
$IMebitev,"""[$MIqebit] / ([$MImcap2] + [$MIqdebt])""",['$MImcap2' '$MIqdebt' '$MIqebit']
$IMI3ymoJ,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GIJAUNIV],[RETT from PDM-36 to PD])""",[]
$IMI3ymoM,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GIMAUNIV],[RETT from PDM-36 to PD])""",[]
$IMI3ymoP,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GIPAUNIV],[RETT from PDM-36 to PD])""",[]
$IMI3ymoN,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GINAUNIV],[RETT from PDM-36 to PD])""",[]
$IMI3ymoE,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GIEAUNIV],[RETT from PDM-36 to PD])""",[]
$IMI1ymoJ,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GIJAUNIV],[MOMENTUM])""",[]
$IMI1ymoM,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GIMAUNIV],[MOMENTUM])""",[]
$IMI1ymoN,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GINAUNIV],[MOMENTUM])""",[]
$IMI1ymoP,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GIPAUNIV],[MOMENTUM])""",[]
$IMI1ymoE,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GIEAUNIV],[MOMENTUM])""",[]
$IMrssec5,"""[$relstr3m] - if(screen($GINsize = 1),[$relstr3m group: MSINDGRP median within portfolio: GINLUNIV],[$relstr3m group: MSINDGRP median within portfolio: GINSUNIV])""",['$GINsize' '$relstr3m']
$IMqlever,"""[$IMIqliab] / [$IMImcap2]""",['$IMImcap2' '$IMIqliab']
$IMcdsmn,"""if(screen(HOLDINGS in GINAUNIV > 0),[$IMIdistp mean within portfolio: GINLUNIV],if(screen(HOLDINGS in GIEAUNIV > 0),[$IMIdistp mean within portfolio: GIELUNIV],if(screen(HOLDINGS in GIPAUNIV > 0),[$IMIdistp mean within portfolio: GIPLUNI2],if(screen(HOLDINGS in GIJAUNIV > 0),[$IMIdistp mean within portfolio: GIJLUNI2],if(screen(HOLDINGS in GIMAUNIV > 0),[$IMIdistp mean within portfolio: GIMLRG],[$NA])))))""",['$IMIdistp' '$NA']
$IMI3mma2,"""if([$MI3mmo],if(screen($MI3mmo > -99.9999),[$MI3mmo],-99.99990),[$MI3mmo])""",['$MI3mmo']
$ss86fcst,"""[$sc86fcst] x 50.0""",['$sc86fcst']
$SeasnAdj,"""[$Season] - [$Season group: MSINDGRP mean within portfolio: NA12LG]""",['$Season']
$ss88fcst,"""[$sc88fcst] x 50.0""",['$sc88fcst']
$StGrowth,"""[$IBmnfy2] / [$IBmnfy1] - 1.0""",['$IBmnfy1' '$IBmnfy2']
$seasonP1,"""[$Season on PDM1]""",['$Season']
$seasonM1,"""[$Season on PDM-1]""",['$Season']
$qtrmomM1,"""[$QtrMom on PDM-1]""",['$QtrMom']
$qtrMomP1,"""[$QtrMom on PDM1]""",['$QtrMom']
$tdacfcst,"""100.0 x ([$td95fcst] | [$td96fcst] | [$td97fcst] | [$td98fcst] | [$td99fcst])""",['$td95fcst' '$td96fcst' '$td97fcst' '$td98fcst' '$td99fcst']
$hdacfcst,"""100.0 x ([$hd95fcst] | [$hd96fcst] | [$hd97fcst] | [$hd98fcst] | [$hd99fcst])""",['$hd95fcst' '$hd96fcst' '$hd97fcst' '$hd98fcst' '$hd99fcst']
$rdacfcst,"""100.0 x ([$rd95fcst] | [$rd96fcst] | [$rd97fcst] | [$rd98fcst])""",['$rd95fcst' '$rd96fcst' '$rd97fcst' '$rd98fcst']
$ddr04Nor,"""[$qaddr04] x ([$rdacfcst stddev within portfolio] / [$qaddr04 stddev within portfolio])""",['$qaddr04' '$rdacfcst']
$ddr04No1,"""if(screen($ddr04Nor = N.A.),[$ddr04Nor mean within portfolio],[$ddr04Nor])""",['$ddr04Nor']
$wsmBarm,"""if(screen($WSM_ARMG = N.A.),[$wsm_new],[$WSM_ARMG])""",['$WSM_ARMG' '$wsm_new']
$gimsizt,"""if(screen(HOLDINGS in GIMLRG > 0),1.0,if(screen(HOLDINGS in GIMSML > 0),0.0,[$NA]))""",['$NA']
$3yrmoma,"""if(screen(HOLDINGS in NAMUNI12 > 0),[$3yrmomn],if(screen(HOLDINGS in EACUNIV3 > 0),[$3yrmomE],if(screen(HOLDINGS in JLCUNIV2 > 0),[$3yrmomj],if(screen(HOLDINGS in PLCUNIV2 > 0),[$3yrmomp],[$3yrmomem]))))""",['$3yrmomE' '$3yrmomem' '$3yrmomj' '$3yrmomn' '$3yrmomp']
$n12to36m,"""([$12to36mo] - [$12to36mo mean within portfolio]) / [$12to36mo stddev within portfolio]""",['$12to36mo']
$n12to36c,"""if(screen($n12to36m = N.A.),[$n12to36m group: MSINDGRP median within portfolio],[$n12to36m])""",['$n12to36m']
$wsmBeq,"""if(screen($wsm_eqrw = N.A.),[$eqnew] | [$eqaswasU],[$wsm_eqrw])""",['$eqaswasU' '$eqnew' '$wsm_eqrw']
$tdacdg01,"""[$td95dg01] | [$td96dg01] | [$td97dg01] | [$td98dg01] | [$td99dg01]""",['$td95dg01' '$td96dg01' '$td97dg01' '$td98dg01' '$td99dg01']
$IMIgMom,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GIAAUNIV],[MOMENTUM])""",[]
$IMIG3YMo,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GIAAUNIV],[RETT from PDM-36 to PD])""",[]
$IMIGSTMo,"""if(screen(HOLDINGS in GINAUNIV > 0),[$IMrssec6],[$IMI3mma2])""",['$IMI3mma2' '$IMrssec6']
$zstddg01,"""([$tdacdg01] - [$tdacdg01 mean within portfolio: MWXUSV INDEX]) / [$tdacdg01 stddev within portfolio: MWXUSV INDEX]""",['$tdacdg01']
$IMrssec6,"""if([$IMrssec5],if(screen($IMrssec5 > -99.9999),[$IMrssec5],-99.99990),[$IMrssec5])""",['$IMrssec5']
$gdcQfcst,"""[$nd15fcst] | [$ed15fcst] | [$jd15fcst] | [$pd15fcst] | [$md15fcst]""",['$ed15fcst' '$jd15fcst' '$md15fcst' '$nd15fcst' '$pd15fcst']
$ismegan,"""if(screen($ismega = YES),1.0,0.0)""",['$ismega']
$schsprma,"""[$scHSpeer] / (log([$ciqmcap2]) + 1.0)""",['$ciqmcap2' '$scHSpeer']
$mnus1NAR,"""-1.0 x [$ng3stmom]""",['$ng3stmom']
$bwexl4b,"""abs([$bwexl4a])""",['$bwexl4a']
$msesg1yr,"""[$msesgInd] - [$msesgInd on PDM-12]""",['$msesgInd']
$esgMtU15,"""([$esgmatMI] - ([$esgmatMI mean within portfolio: MSUS INDEX] - [$bb3fBG6c mean within portfolio: MSUS INDEX])) x ([$bb3fBG6c stddev within portfolio: MSUS INDEX] / [$esgmatMI stddev within portfolio: MSUS INDEX])""",['$bb3fBG6c' '$esgmatMI']
$esgMSU15,"""([$cesgind] - ([$cesgind mean within portfolio: MSUS INDEX] - [$bb3fBG6c mean within portfolio: MSUS INDEX])) x ([$bb3fBG6c stddev within portfolio: MSUS INDEX] / [$cesgind stddev within portfolio: MSUS INDEX])""",['$bb3fBG6c' '$cesgind']
$esgMatu3,"""if(screen($esgMtU15 <> N.A.),[$esgMtU15],[$esgMSU15])""",['$esgMSU15' '$esgMtU15']
$esgcgyYr,"""[$ESGcg] - [$ESGcg on PDM-12]""",['$ESGcg']
$esgcg3mo,"""[$ESGcg] - [$ESGcg on PDM-3]""",['$ESGcg']
$yf77fcst,"""[$ys77fcst] x 50.0""",['$ys77fcst']
$yf79fcst,"""[$yy79fcst] x 50.0""",['$yy79fcst']
$ffg1fcst,"""[$ffn1fcst] | [$ffe1fcst] | [$ffj1fcst] | [$ffp1fcst]""",['$ffe1fcst' '$ffj1fcst' '$ffn1fcst' '$ffp1fcst']
$ss90dwf1,"""[$sc90dwf1] x 190.0""",['$sc90dwf1']
$jc6m_6,"""[RETT from PDM-12 to PDM-6]""",[]
$jc6m_12,"""[RETT from PDM-18 to PDM-12]""",[]
$jc6m,"""[RETT from PDM-6 to PDM-1]""",[]
$jcAccel,"""[$jc6m_6] - [$jc6m_12]""",['$jc6m_12' '$jc6m_6']
$tdacdisp,"""[$tdacdg01] x ([$tdacdg01 stddev within portfolio: MWXUSV INDEX] / 0.850)""",['$tdacdg01']
$tdacind,"""[$tdacdg01] / [$tdacdg01 stddev within portfolio: MWXUSV INDEX]""",['$tdacdg01']
$img1fcst,"""([$imn1fcst] | [$ime1fcst] | [$imj1fcst] | [$imp1fcst] | [$imm1fcst] | [$imm2fcst]) x 50.0""",['$ime1fcst' '$imj1fcst' '$imm1fcst' '$imm2fcst' '$imn1fcst' '$imp1fcst']
$zstd95dg,"""([$td95dg01] - [$td95dg01 mean within portfolio: NA12LG]) / [$td95dg01 stddev within portfolio: NA12LG]""",['$td95dg01']
$zstd96dg,"""([$td96dg01] - [$td96dg01 mean within portfolio: ELCUNIV3]) / [$td96dg01 stddev within portfolio: ELCUNIV3]""",['$td96dg01']
$zstd97dg,"""([$td97dg01] - [$td97dg01 mean within portfolio: JLCUNIV2]) / [$td97dg01 stddev within portfolio: JLCUNIV2]""",['$td97dg01']
$zstd98dg,"""([$td98dg01] - [$td98dg01 mean within portfolio: PLCUNIV2]) / [$td98dg01 stddev within portfolio: PLCUNIV2]""",['$td98dg01']
$zstdacdg,"""[$zstd95dg] | [$zstd96dg] | [$zstd97dg] | [$zstd98dg]""",['$zstd95dg' '$zstd96dg' '$zstd97dg' '$zstd98dg']
$IMISMom,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: GIASUNIV],[MOMENTUM])""",[]
$IMIS3YMo,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: GIASUNIV],[RETT from PDM-36 to PD])""",[]
$ad1adv2z,"""[$nd1adv2z] | [$ed1adv2z] | [$jd1adv2z] | [$pd1adv2z] | [$md1adv2z]""",['$ed1adv2z' '$jd1adv2z' '$md1adv2z' '$nd1adv2z' '$pd1adv2z']
$gd1bdv2z,"""[$nd1bdv2z] | [$ed1bdv2z] | [$jd1bdv2z] | [$pd1bdv2z] | [$md1bdv2z]""",['$ed1bdv2z' '$jd1bdv2z' '$md1bdv2z' '$nd1bdv2z' '$pd1bdv2z']
$IMpenAL,"""if(screen(HOLDINGS in GINLUNIV > 0),[$qpensAst],0.0)""",['$qpensAst']
$acaspawt,"""[PMKVAL in SKMSCIAA] - (0.33330 x [PMKVAL in APACMVOL]) - (0.33330 x [PMKVAL in APACQUAL])""",[]
$gd1bf100,"""[$nd1bf100] | [$ed1bf100] | [$jd1bf100] | [$pd1bf100] | [$md1bf100]""",['$ed1bf100' '$jd1bf100' '$md1bf100' '$nd1bf100' '$pd1bf100']
$gdcRfcst,"""[$nd16fcst] | [$ed16fcst] | [$jd16fcst] | [$pd16fcst] | [$md16fcst]""",['$ed16fcst' '$jd16fcst' '$md16fcst' '$nd16fcst' '$pd16fcst']
$cctorp,"""([$ccibtw1] - [$ibepsact]) / [PRICE]""",['$ccibtw1' '$ibepsact']
$gdcSfcst,"""[$nd17fcst] | [$ed17fcst] | [$jd17fcst] | [$pd17fcst] | [$md17fcst]""",['$ed17fcst' '$jd17fcst' '$md17fcst' '$nd17fcst' '$pd17fcst']
$gdcTfcst,"""[$nd18fcst] | [$ed18fcst] | [$jd18fcst] | [$pd18fcst] | [$md18fcst]""",['$ed18fcst' '$jd18fcst' '$md18fcst' '$nd18fcst' '$pd18fcst']
$gdcUfcst,"""[$nd19fcst] | [$ed19fcst] | [$jd19fcst] | [$pd19fcst] | [$md19fcst]""",['$ed19fcst' '$jd19fcst' '$md19fcst' '$nd19fcst' '$pd19fcst']
$gd1bdv2,"""[$nd1bdv2] | [$ed1bdv2] | [$jd1bdv2] | [$pd1bdv2] | [$md1bdv2]""",['$ed1bdv2' '$jd1bdv2' '$md1bdv2' '$nd1bdv2' '$pd1bdv2']
$esggovMn,"""if(screen($esgGovsc = N.A.),[$esgGovsc group: CNTYMS median within portfolio],[$esgGovsc])""",['$esgGovsc']
$esggovs2,"""0.0""",[]
$3mMoAdR2,"""if([$3mMoAdRE],if(screen($3mMoAdRE > -99.9999),[$3mMoAdRE],-99.9990),[$3mMoAdRE])""",['$3mMoAdRE']
$msesgpad,"""0.0""",[]
$img2fcst,"""([$imn2fcst] | [$ime2fcst] | [$imj1fcst] | [$imp1fcst] | [$imm1fcst] | [$imm2fcst]) x 50.0""",['$ime2fcst' '$imj1fcst' '$imm1fcst' '$imm2fcst' '$imn2fcst' '$imp1fcst']
$chADR,"""if(screen(HOLDINGS in MSEMADR > 0),1.0,if(screen(HOLDINGS in MEMERGEF INDEX > 0),1.0,0.0))""",[]
